#SampleID	shannon_entropy
11369.m02.10A	4.195339993551757
11369.m02.02B	3.8190798608178955
11369.m01.10A	4.131090559114535
11369.m01.02B	3.7332534771192014
11369.Julia013	4.872557678802557
11369.Julia029	2.516813821468001
11369.m02.10B	4.229832680405298
11369.m02.03A	4.043523205896217
11369.Julia001	4.061897976368943
11369.Julia059	4.324027281206734
11369.m01.10B	4.175113289290746
11369.m02.03B	3.850421499839541
11369.m01.03B	4.188504906880979
11369.Julia030	2.9153316684656856
11369.Julia048	2.112943131299345
11369.m02.11A	4.76540334943552
11369.Julia015	0.11315500157211383
11369.m02.04A	4.293629925926066
11369.Julia061	2.440447218598447
11369.m01.11A	4.667026639815246
11369.m02.04B	4.1963030411291475
11369.Julia003	3.532175413520929
11369.m01.04B	4.417711815074518
11369.Julia049	4.033309089830694
11369.m02.11B	4.368434770208676
11369.Julia031	3.7379239059475164
11369.Julia062	1.6799255809466096
11369.m01.11B	4.455182712333865
11369.m03.02B	3.0467163477996375
11369.m02.05A	3.046295651288542
11369.Julia017	4.974949232734077
11369.m02.12A	4.772269760481809
11369.Julia032	1.9296851009020806
11369.m01.05A	3.683312674158898
11369.m01.12A	4.562701935524218
11369.m02.05B	3.3028094089196354
11369.Julia051	4.186277117523338
11369.m03.03A	2.6397449896916636
11369.Julia064	2.626674311929724
11369.m02.12B	4.485568971938446
11369.Julia005	0.6573432601823641
11369.Julia033	1.6547923220812824
11369.m01.12B	4.637099207073612
11369.m01.05B	3.6960836732479114
11369.m02.06A	3.2084288137075783
11369.Julia006	2.463466767263814
11369.Julia065	1.7439836576816394
11369.m03.03B	2.3552768002136237
11369.Julia034	1.9337758385292383
11369.m02.06B	2.716888355666301
11369.m01.06A	3.2275798571577523
11369.m01.13A	4.3841820157241305
11369.m02.13B	5.336044096270813
11369.Julia066	2.3196775397991956
11369.Julia021	4.703138976628442
11369.m03.04A	3.0542798579360246
11369.Julia036	1.3407655205555866
11369.Julia055	4.152154507325396
11369.Julia007	2.754323621849984
11369.m01.06B	3.226956185146602
11369.m02.07A	4.368075127960184
11369.m01.13B	4.38092062082465
11369.Julia068	2.9525224914934625
11369.m03.04B	3.1258498781001895
11369.m02.14A	2.745775905382628
11369.m01.07A	4.34248131034994
11369.Julia023	2.049143643352993
11369.Julia037	1.6340547349698429
11369.Julia008	1.9781722071030925
11369.m02.07B	3.8728834257813767
11369.m01.07B	4.320747641721802
11369.m02.14B	3.1384872494466425
11369.m03.05A	2.267037915752679
11369.m02.08A	5.09424406029534
11369.m03.10A	2.8219477625955736
11369.m01.01A	3.3414278214509925
11369.m01.14A	3.628862777961178
11369.m01.08A	4.3921350407444635
11369.Julia038	1.2675541951986546
11369.m03.05B	2.490447085305228
11369.m04.02B	5.033350035852128
11369.m02.08B	5.027697219393636
11369.m02.15A	4.733308908968668
11369.m03.10B	2.7807847925458384
11369.m01.08B	4.372871611526462
11369.m01.14B	3.895243044791302
11369.m03.06A	0.6020966255773751
11369.m02.09A	4.562493786657476
11369.Julia011	5.444500957927676
11369.Julia039	3.655811714578866
11369.m02.15B	4.903021747669584
11369.m04.03A	5.089858049416644
11369.m01.01B	2.9225009552289762
11369.m01.09A	4.439245132710467
11369.m03.11A	0.4094444352657054
11369.m02.09B	4.513751928733766
11369.m01.15A	4.281818916624269
11369.m03.06B	0.8573183364709394
11369.m04.03B	5.18631738945521
11369.m04.10A	4.902138485433188
11369.Julia040	0.4740434271198923
11369.p01.2B	2.6304991067066785
11369.m01.09B	4.303066645731103
11369.m01.02A	3.585366273192241
11369.m03.01A	3.65777063831694
11369.m03.11B	0.5704142283970545
11369.m03.07A	0.41506293866804106
11369.m04.10B	4.974083739638163
11369.m01.15B	4.359484113619298
11369.m04.04A	5.259247037058311
11369.p09.1A	4.602073211447283
11369.p06.2B	3.4111872514231916
11369.p04.1A	2.014404301566816
11369.p01.3A	2.9405732317955438
11369.m04.04B	5.316758443529112
11369.m03.12A	0.6606794799904118
11369.m03.01B	3.9587243712674316
11369.m03.07B	0.41196476079091876
11369.m04.11A	4.503338417467451
11369.m02.01A	4.078473544241486
11369.p09.1B	4.76996807505673
11369.p06.3A	3.8954458268761467
11369.p04.1B	1.9018437033387696
11369.p01.3B	2.6761826618267177
11369.m04.11B	4.919902212873381
11369.m03.02A	2.855201036444558
11369.m03.12B	0.6862413406982723
11369.m03.08A	1.0434302425381017
11369.m04.05B	4.186681891095572
11369.p06.3B	3.92444740343649
11369.p04.2A	2.923081601979468
11369.p09.2A	1.957071010237061
11369.m02.02A	3.901945324376427
11369.p11.2B	4.252236364741548
11369.p02.1A	1.7123696374938548
11369.m04.06A	3.157831634869587
11369.p04.2B	2.8893730560699797
11369.p11.3A	4.528379439765665
11369.m04.12A	4.447452899024778
11369.p09.2B	2.047550116572001
11369.p07.1A	3.3333969906598955
11369.p14.1A	4.857518347312249
11369.m03.13A	2.417703765436745
11369.m03.08B	0.6492231100679084
11369.p11.3B	4.195613811065173
11369.m04.06B	2.7343195381604373
11369.p02.1B	1.5154755123403245
11369.p09.3A	4.365818682494271
11369.p04.3A	1.7899276736165963
11369.p07.1B	3.5489328219244793
11369.p14.1B	4.858120875511883
11369.p09.3B	4.460135517997806
11369.m03.09A	3.1728761097597964
11369.m04.12B	5.116690770868354
11369.p12.1A	3.213962814824086
11369.m03.13B	2.347819917669864
