ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name,Compound_Name_2
2296,3.0853175684336596,High,0.1343985442148428,204.62452272901547,6.766664,NA,NA,NA
2411,2.9668050235510095,High,0.12923605667502347,515.3552342631615,7.0067725,NA,NA,NA
2451,2.7926631088206095,High,0.12165031572374989,559.3812639595161,6.997226,NA,NA,NA
2426,2.770270932915905,High,0.12067489722090748,497.3448211,7.203925,NA,NA,NA
2375,2.721284392686256,High,0.11854101001255471,471.3286915563076,7.006284,NA,NA,NA
2610,2.6946944275253273,High,0.11738273293763872,613.4281228700589,7.7042484,52,NA,NA
2618,2.688456762325913,High,0.1171110159738234,569.4019539427555,7.7257023,52,NA,NA
2622,2.6462709946988885,High,0.1152733750730405,525.3755631888585,7.7421246,NA,NA,NA
2599,2.640264440809667,High,0.11501172547602051,657.4544433118286,7.6823606,NA,NA,NA
2587,2.6328082363530934,High,0.11468692810845472,701.4805926035338,7.6597376,NA,NA,NA
2405,2.621070958893491,High,0.11417564427182293,585.3968779,7.168513,28,NA,NA
2294,2.604527296548916,High,0.11345499102113614,351.25038316780547,6.764649,NA,NA,NA
2417,2.5917345954553617,High,0.11289773220890237,541.3706752631526,7.188982,28,NA,NA
2314,2.5289307029845522,Low,-0.110161952,314.26888047378577,6.7934947,NA,Candidate Alanine/Sarcosine-C15:0 (delta mass:224.2139),Alanine/Sarcosine-C15:0
2401,2.519304218084572,High,0.1097426154147152,629.4230712,7.148716,28,NA,NA
2062,2.493399372745607,High,0.10861418262799395,323.21916704846126,6.0834303,NA,NA,NA
2259,2.473909977043691,High,0.10776521121682921,213.62984608512096,6.6858587,NA,NA,NA
2441,2.3006272217710824,Low,-0.100216896,282.27896398637176,7.2342124,NA,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14",9-Octadecenamide
2067,2.287758673694929,Low,-0.099656333,308.2195106286732,6.1158485,NA,NA,NA
2190,2.2730170442783004,High,0.099014178,557.3657477,6.5390525,NA,NA,NA
2287,2.2697143161294218,High,0.098870309,329.2684461904695,6.7596135,NA,Spectral Match to Monopalmitolein (9c) from NIST14,Monopalmitolein (9c)
2326,2.2293968914537396,High,0.097114054,615.4075294601006,6.837975,NA,NA,NA
1892,2.171725496742403,Low,-0.094601849,280.1882017487096,5.427825,NA,NA,NA
2394,2.171323344464556,High,0.09458433,673.4490997,7.129236,NA,NA,NA
2533,2.1009975401530814,High,0.09152089,599.41272081123725,7.463626,NA,NA,NA
2510,2.0741580193293565,High,0.090351742,379.2816389333617,7.350367,NA,NA,NA
2330,2.073663393043497,High,0.090330196,571.3812317556732,6.8555856,NA,NA,NA
2080,2.059074536027637,Low,-0.089694696,471.34644359416046,6.19721,NA,glycyrrhetic acid,glycyrrhetic acid
2393,2.0029608383187605,High,0.087250345,717.4751519138506,7.1093807,NA,NA,NA
2784,1.9502330378146397,High,0.084953485,821.5950990191941,8.403046,NA,NA,NA
1453,1.9152057902435473,Low,-0.083427675,287.26902972075635,4.496326,NA,NA,NA
2506,1.8910919781062523,Low,-0.08237726,479.33400436405054,7.331885,NA,NA,NA
2069,1.8842639362934883,Low,-0.082079826,286.2374635619433,6.123715,NA,Gly-C14:0,Gly-C14:0
1883,1.876582848251049,Low,-0.081745233,258.20624357429614,5.42755,NA,Gly-C12:0,Gly-C12:0
2334,1.8410107356492587,High,0.080195687,527.3550368,6.871059,NA,NA,NA
2523,1.8297190166754278,Low,-0.079703812,775.5170024292682,7.3958254,NA,NA,NA
2198,1.829453213710091,High,0.079692234,513.3400755502314,6.5503798,NA,NA,NA
1592,1.8202029736212142,High,0.079289287,316.2843713728004,4.8240833,NA,NA,NA
2782,1.7679010876101167,High,0.077010981,865.6213797184978,8.381335,NA,NA,NA
2509,1.7610764757742643,High,0.076713696,357.2997176476272,7.35076,NA,Spectral Match to Monoelaidin from NIST14,Monoelaidin
316,1.7583698323495005,Low,-0.076595793,352.17473751906925,2.9096296,NA,NA,NA
2106,1.7533843823454003,Low,-0.076378623,553.3940971750894,6.298921,NA,NA,NA
2576,1.7189458178201786,High,0.074878456,745.5067364870115,7.6367044,NA,NA,NA
2185,1.7148118313667255,High,0.074698377,601.3918564385517,6.5244308,NA,NA,NA
2423,1.7115927695627937,High,0.074558152,353.2661052034778,7.1979756,NA,NA,NA
