ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name
2296,3.007927306412988,High,0.13102737145181861,204.62452272901547,6.766664,NA,NA
2294,2.809023622489135,High,0.12236299089280006,351.25038316780547,6.764649,NA,NA
2411,2.7736366301956337,High,0.12082150929717846,515.3552342631615,7.0067725,NA,NA
2426,2.6305870814732124,High,0.11459017308220204,497.344821063082,7.203925,NA,NA
2375,2.567531960311027,High,0.11184344886288916,471.3286915563076,7.006284,NA,NA
2441,2.5576460579588347,Low,-0.11141281219262275,282.27896398637176,7.2342124,NA,"Spectral Match to 9-Octadecenamide, (Z)- from NIST14"
2451,2.534825478357153,High,0.11041873213163181,559.3812639595161,6.997226,NA,NA
2314,2.5137006785148426,Low,-0.10949852139718938,314.26888047378577,6.7934947,NA,Candidate Alanine/Sarcosine-C15:0 (delta mass:224.2139)
2622,2.5071743900801446,High,0.10921423180777287,525.3755631888585,7.7421246,NA,NA
2062,2.5023827910633734,High,0.10900550647625301,323.21916704846126,6.0834303,NA,NA
2618,2.460629325663121,High,0.10718669695624382,569.4019539427555,7.7257023,52,NA
2610,2.443357472037155,High,0.10643432319512071,613.4281228700589,7.7042484,52,NA
2587,2.43489743963919,High,0.10606579839562197,701.4805926035338,7.6597376,NA,NA
2287,2.399367410327769,High,0.10451808600963575,329.2684461904695,6.7596135,NA,Spectral Match to Monopalmitolein (9c) from NIST14
2405,2.391486358920967,High,0.10417478201824332,585.396877878335,7.168513,28,NA
2417,2.38923290159737,High,0.10407661987544144,541.3706752631526,7.188982,28,NA
2599,2.3808767689381702,High,0.10371262101965018,657.4544433118286,7.6823606,NA,NA
2326,2.3120008628743345,High,0.1007123394275166,615.4075294601006,6.837975,NA,NA
2401,2.2994511928899954,High,0.10016566721667894,629.423071213007,7.148716,28,NA
2259,2.2868555917739317,High,0.0996169942143179,213.62984608512096,6.6858587,NA,NA
2190,2.258548575109206,High,0.09838392120111236,557.365747697907,6.5390525,NA,NA
2067,2.227176158334228,Low,-0.09701731726179764,308.2195106286732,6.1158485,NA,NA
1592,2.1975469462964736,High,0.09572664851351423,316.2843713728004,4.8240833,NA,NA
1892,2.154381493076554,Low,-0.09384633183801677,280.1882017487096,5.427825,NA,NA
2510,2.129221819763739,High,0.09275035925459159,379.2816389333617,7.350367,NA,NA
2080,2.122001049117051,Low,-0.09243581754486514,471.34644359416046,6.19721,NA,glycyrrhetic acid
2533,2.0962667697539006,High,0.09131481472874942,599.41272081123725,7.463626,NA,NA
2330,2.0798535616639318,High,0.09059984415464836,571.3812317556732,6.8555856,NA,NA
2069,2.0709499172219368,Low,-0.09021199531099815,286.2374635619433,6.123715,NA,Gly-C14:0
967,1.992170776273195,Low,-0.08678032203161447,460.2704410324588,3.7044895,NA,NA
2394,1.9792814116338624,High,0.08621885248919066,673.449099718732,7.129236,NA,NA
2784,1.9040977306775855,High,0.08294379990704538,821.5950990191941,8.403046,NA,NA
316,1.8936025988591776,Low,-0.0824866247844038,352.17473751906925,2.9096296,NA,NA
1883,1.8914816690668301,Low,-0.08239423563153676,258.20624357429614,5.42755,NA,Gly-C12:0
2393,1.8887190499111834,High,0.08227389405096895,717.4751519138506,7.1093807,NA,NA
2523,1.8800027370276262,Low,-0.08189420549817407,775.5170024292682,7.3958254,NA,NA
2334,1.879861404898205,High,0.0818880489739189,527.355036815149,6.871059,NA,NA
2506,1.8277936724086852,Low,-0.07961994292261476,479.33400436405054,7.331885,NA,NA
2721,1.8263379784099416,High,0.07955653189606272,664.4365853831296,8.1720085,NA,NA
2782,1.824097925351691,High,0.07945895365223037,865.6213797184978,8.381335,NA,NA
2198,1.813647068649318,High,0.0790037071839357,513.3400755502314,6.5503798,NA,NA
2177,1.7974733603015087,High,0.07829916938246571,325.23474714911043,6.5202456,NA,NA
1478,1.762519839048623,High,0.07677657008194855,302.26872733604915,4.5562797,NA,NA
2509,1.7507688056681316,High,0.0762646870279912,357.2997176476272,7.35076,NA,Spectral Match to Monoelaidin from NIST14
2740,1.7466771554337037,High,0.07608645194432602,620.4102982109918,8.212628,NA,NA
270,1.7261731649426848,Low,-0.07519328408997548,333.1702794094533,2.8385506,NA,NA
2390,1.7252431446885323,High,0.07515277177139693,761.5012904520771,7.09139,NA,NA
2185,1.6996094859321047,High,0.07403615205775332,601.3918564385517,6.5244308,NA,NA
1937,1.6949522965472559,Low,-0.07383328170176133,258.27888596861413,5.6012297,NA,NA
2423,1.6681216682611464,High,0.07266452117645393,353.2661052034778,7.1979756,NA,NA
2516,1.6580579687726702,Low,-0.07222613954128451,819.5429741710298,7.3695283,NA,NA
2576,1.6109867089168501,High,0.07017568325642548,745.5067364870115,7.6367044,NA,NA
2106,1.6084862769272972,Low,-0.07006676272819773,553.3940971750894,6.298921,NA,NA
1453,1.5949719615839888,Low,-0.06947806990552566,287.26902972075635,4.496326,NA,NA
2774,1.5941330259278794,High,0.06944152529435675,488.3316878775467,8.337049,NA,NA
2161,1.5924599433633235,High,0.0693686446731435,209.6273438085433,6.5110025,NA,NA
593,1.5901325328579525,Low,-0.06926726107914577,467.3010166352474,3.3577812,NA,NA
357,1.5880501984833209,Low,-0.0691765531690809,377.19652226198514,2.9783773,NA,NA
391,1.5771942756000672,Low,-0.06870366174080611,399.20960280245697,3.0396154,NA,NA
2171,1.5623647497670217,High,0.06805767744935129,645.4180932312786,6.511548,NA,NA
2534,1.5547112032403945,High,0.06772428372619511,555.3862122911567,7.4776206,NA,NA
279,1.553424090043504,Low,-0.06766821619471257,322.1787389927396,2.839588,NA,NA
310,1.5528030564563313,Low,-0.06764116354675229,355.1834894792124,2.9108894,NA,NA
2109,1.5524432298198503,Low,-0.0676254892522785,526.3946514178751,6.3084507,NA,NA
2732,1.5408176913243063,High,0.06711907284137142,642.4235938098598,8.19168,NA,NA
2792,1.5289497834484824,High,0.0666020986544334,733.5429739441015,8.447081,NA,NA
1887,1.5098167946858168,Low,-0.06576865257339135,187.10409365888933,5.4288692,NA,NA
2250,1.4905166003685284,High,0.06492792290399009,223.14516228518875,6.658225,NA,NA
2590,1.4904324056317684,Low,-0.06492425532365188,865.58517993472606,7.671508,NA,NA
269,1.4870146136369264,Low,-0.06477537396594805,330.16169825455165,2.8376803,NA,NA
1886,1.4834145555643745,Low,-0.0646185529731951,515.4051503209561,5.427411,NA,NA
358,1.4492298408883035,Low,-0.06312944341317138,731.403275093512,2.9775605,NA,NA
2385,1.4414427705896589,Low,-0.06279023330315091,398.232337817076,7.076775,NA,302776-68-7
2277,1.4282771559064296,High,0.06221673011980829,348.24182739419695,6.7463574,NA,NA
1553,1.4272098356167138,Low,-0.06217023691774172,301.28474094495164,4.687499,NA,NA
1754,1.4123664048114453,Low,-0.06152364691618327,223.1148048743375,5.218409,NA,NA
2104,1.4109113004570624,Low,-0.061460261574943005,614.4468469874033,6.2890806,NA,NA
2077,1.4048583249473898,Low,-0.0611965898203751,481.21421758093607,6.1565356,NA,NA
2105,1.3965496314976542,Low,-0.060834657449005375,570.4203879616047,6.298773,NA,NA
359,1.3960253767929325,Low,-0.06081182055537949,366.2051659584511,2.9785178,NA,NA
2437,1.3895986980088897,Low,-0.06053187003049713,291.195211605177,7.2143993,NA,Massbank:AU250201 Octyl-methoxycinnamate|Octinoxate|2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate
1011,1.3821595600560723,Low,-0.06020781609151164,272.16426102665247,3.7418509,NA,"""related spectra of 'Massbank:AU267102 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (Delta Mass:15.995)'"""
