ID,comp1,GroupContrib,importance,mz,RT,Corr_ID,Compound_Name,Compound_Name_2,cytoscape_annotation
2297,1.3782238698593463,High,0.060036375,679.5112723312471,6.7664294,NA,NA,NA,"(m/z: 679.51, RT: 6.77)"
2264,1.368457176465867,High,0.059610931,340.3934233366102,6.6892076,NA,NA,NA,"(m/z: 340.39, RT: 6.69)"
2656,1.3452895172644292,Low,-0.058601732,705.5115795790632,7.8647594,NA,NA,NA,"(m/z: 705.51, RT: 7.86)"
391,1.3444009861771404,Low,-0.058563027,399.20960280245697,3.0396154,NA,NA,NA,"(m/z: 399.21, RT: 3.04)"
2590,1.3371468458932472,Low,-0.058247031,865.58517993472606,7.671508,NA,NA,NA,"(m/z: 865.59, RT: 7.67)"
2104,1.333968000908883,Low,-0.058108559,614.4468469874033,6.2890806,NA,NA,NA,"(m/z: 614.45, RT: 6.29)"
1886,1.3292248832994815,Low,-0.057901945,515.4051503209561,5.427411,NA,NA,NA,"(m/z: 515.41, RT: 5.43)"
1553,1.3269957471939382,Low,-0.057804843,301.28474094495164,4.687499,NA,NA,NA,"(m/z: 301.28, RT: 4.69)"
2001,1.3234888861576852,Low,-0.057652081,228.1248463228668,5.859361,NA,NA,NA,"(m/z: 228.12, RT: 5.86)"
2527,1.3211479729855566,Low,-0.05755011,731.4907171804269,7.4067674,NA,NA,NA,"(m/z: 731.49, RT: 7.41)"
2354,1.3075744356700196,Low,-0.056958837,355.2822747688957,6.925827,NA,NA,NA,"(m/z: 355.28, RT: 6.93)"
1921,1.285691015068127,Low,-0.05600558,374.3264349011609,5.5201163,NA,NA,NA,"(m/z: 374.33, RT: 5.52)"
2732,1.2847240729242533,High,0.05596346,642.4235938098598,8.19168,NA,NA,NA,"(m/z: 642.42, RT: 8.19)"
1994,1.2835134717098322,Low,-0.055910725,380.2406152388937,5.858774,NA,NA,NA,"(m/z: 380.24, RT: 5.86)"
1944,1.2771269833423773,Low,-0.055632525,459.2940625746687,5.6276627,NA,NA,NA,"(m/z: 459.29, RT: 5.63)"
359,1.2724405390854274,Low,-0.05542838,366.2051659584511,2.9785178,NA,NA,NA,"(m/z: 366.21, RT: 2.98)"
278,1.2719210504055534,Low,-0.055405751,311.18805504280294,2.8393981,NA,NA,NA,"(m/z: 311.19, RT: 2.84)"
2239,1.270956873453691,High,0.055363751,267.1716318665738,6.6332083,NA,NA,NA,"(m/z: 267.17, RT: 6.63)"
269,1.2682487493195989,Low,-0.055245783,330.16169825455165,2.8376803,NA,NA,NA,"(m/z: 330.16, RT: 2.84)"
310,1.266718019500167,Low,-0.055179104,355.1834894792124,2.9108894,NA,NA,NA,"(m/z: 355.18, RT: 2.91)"
2236,1.2653934701333358,High,0.055121405,517.3707022047283,6.632471,0,NA,NA,"(m/z: 517.37, RT: 6.63)"
1011,1.2619968759913618,Low,-0.054973447,272.16426102665247,3.7418509,NA,"""related spectra of 'Massbank:AU267102 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (Delta Mass:15.995)'""","Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine","Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine (m/z: 272.16, RT: 3.74)"
2399,1.2609952311766466,High,0.054929815,624.4675724993317,7.1484947,NA,NA,NA,"(m/z: 624.47, RT: 7.15)"
215,1.2497670808043546,High,0.054440709,239.08900674269964,2.730929,NA,NA,NA,"(m/z: 239.09, RT: 2.73)"
264,1.2426681162047404,Low,-0.054131473,467.2285660859754,2.8137202,NA,NA,NA,"(m/z: 467.23, RT: 2.81)"
2103,1.2401003646660065,Low,-0.05401962,597.4202393009784,6.2900877,NA,NA,NA,"(m/z: 597.42, RT: 6.29)"
2214,1.2385115668799973,High,0.053950411,333.21100413700265,6.591557,NA,NA,NA,"(m/z: 333.21, RT: 6.59)"
45,1.2326152188074389,High,0.053693562,195.08771980840527,2.1768675,NA,NA,NA,"(m/z: 195.09, RT: 2.18)"
1478,1.2270067830178444,High,0.053449255,302.26872733604915,4.5562797,NA,NA,NA,"(m/z: 302.27, RT: 4.56)"
171,1.220485727462049,Low,-0.053165193,334.2220214,2.6115513,NA,NA,NA,"(m/z: 334.22, RT: 2.61)"
2160,1.2200236360835202,High,0.053145064,303.2526331209979,6.508969,NA,Spectral Match to Glycerol 1-myristate from NIST14,Glycerol 1-myristate,"Glycerol 1-myristate (m/z: 303.25, RT: 6.51)"
2202,1.2188056055674006,High,0.053092006,469.3133321589065,6.5597954,NA,NA,NA,"(m/z: 469.31, RT: 6.56)"
2248,1.209865875925658,High,0.052702585,245.1585560101133,6.6466646,NA,NA,NA,"(m/z: 245.16, RT: 6.65)"
2409,1.2047974993655328,High,0.05248180337903269,331.2843764,7.194044,NA,Ceratodictyol,Ceratodictyol,"Ceratodictyol (m/z: 331.28, RT: 7.19)"
2130,1.2015084537125866,Low,-0.05233853,308.2560606104674,6.431341,NA,NA,NA,"(m/z: 308.26, RT: 6.43)"
2406,1.1939688145782172,High,0.052010098,580.4415968779998,7.170776,NA,NA,NA,"(m/z: 580.44, RT: 7.17)"
2632,1.193734532177272,High,0.051999893,881.6164139441584,7.7796674,NA,NA,NA,"(m/z: 881.62, RT: 7.78)"
2437,1.1934401021365657,Low,-0.051987067,291.1952116,7.2143993,NA,Massbank:AU250201 Octyl-methoxycinnamate|Octinoxate|2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate,Octinoxate,"Octinoxate (m/z: 291.2, RT: 7.21)"
2584,1.171788248598023,Low,-0.051043898,584.3819207233329,7.653538,NA,NA,NA,"(m/z: 584.38, RT: 7.65)"
560,1.1662855211170795,Low,-0.050804195,369.19860785206737,3.325774,NA,NA,NA,"(m/z: 369.2, RT: 3.33)"
360,1.1655220404206497,Low,-0.050770938,374.1880968,2.9779384,NA,NA,NA,"(m/z: 374.19, RT: 2.98)"
2073,1.1613602711381474,Low,-0.050589648,571.4676273321697,6.1253448,NA,NA,NA,"(m/z: 571.47, RT: 6.13)"
2686,1.1574871956173547,Low,-0.050420934,485.3808244723692,7.974133,NA,NA,NA,"(m/z: 485.38, RT: 7.97)"
2368,1.1540471462721396,Low,-0.050271083,311.2569893636178,6.7743616,NA,NA,NA,"(m/z: 311.26, RT: 6.77)"
631,1.142129293878736,Low,-0.049751933,564.3231046881523,3.4062147,NA,NA,NA,"(m/z: 564.32, RT: 3.41)"
229,1.1357018121102855,Low,-0.049471948,311.1571437751355,2.758976,NA,NA,NA,"(m/z: 311.16, RT: 2.76)"
1727,1.1338898175769032,High,0.049393016,337.2096872596607,5.1047673,NA,NA,NA,"(m/z: 337.21, RT: 5.1)"
2228,1.122834500835536,High,0.04891143908505589,289.1846308741248,6.6190434,NA,NA,NA,"(m/z: 289.18, RT: 6.62)"
1744,1.121597101834043,Low,-0.048857537,316.21146796858096,5.1920314,NA,Asp-C12:0,Asp-C12:0,"Asp-C12:0 (m/z: 316.21, RT: 5.19)"
2031,1.1214684130743822,Low,-0.048851931,411.1722454584858,5.998214,NA,NA,NA,"(m/z: 411.17, RT: 6)"
1961,1.1189067163201611,Low,-0.048740342,291.24291430954946,5.690553,NA,NA,NA,"(m/z: 291.24, RT: 5.69)"
2502,1.113802703221402,Low,-0.048518008,747.4850945556033,7.3331356,NA,NA,NA,"(m/z: 747.49, RT: 7.33)"
