"Compound_ID","Category","Matched_Size","Homo_sapiens","Human_skin"
"2441","microbiome",2,NA,NA
"2451","food",3,NA,NA
"2451","microbes",2,NA,NA
"2451","plants",15,NA,NA
"2451","tissue",195,TRUE,TRUE
"2468","food",0,NA,NA
"2468","microbes",1,NA,NA
"2468","tissue",8,TRUE,TRUE
"2481","food",1,NA,NA
"2481","microbes",2,NA,NA
"2481","tissue",9,TRUE,TRUE
"2502","microbes",15,NA,NA
"2502","tissue",16,TRUE,TRUE
"2506","microbes",6,NA,NA
"2506","plants",20,NA,NA
"2506","tissue",21,TRUE,TRUE
"2509","food",666,NA,NA
"2509","microbes",1380,NA,NA
"2509","plants",1217,NA,NA
"2509","tissue",4374,TRUE,TRUE
"2509","personal care product",16,NA,NA
"2516","food",1,NA,NA
"2516","microbes",4,NA,NA
"2516","plants",6,NA,NA
"2516","tissue",38,TRUE,TRUE
"2523","food",25,NA,NA
"2523","microbes",7,NA,NA
"2523","plants",38,NA,NA
"2523","tissue",50,TRUE,TRUE
"2526","food",1,NA,NA
"2526","microbes",3,NA,NA
"2526","tissue",19,TRUE,TRUE
"2527","food",0,NA,NA
"2527","microbes",6,NA,NA
"2527","tissue",66,TRUE,TRUE
"2528","microbes",2,NA,NA
"2528","tissue",37,TRUE,TRUE
"2533","microbes",7,NA,NA
"2533","plants",1,NA,NA
"2533","tissue",56,TRUE,TRUE
"2534","microbes",2,NA,NA
"2534","tissue",139,TRUE,TRUE
"2576","food",11,NA,NA
"2576","microbes",86,NA,NA
"2576","plants",3,NA,NA
"2576","tissue",760,TRUE,TRUE
"2584","microbes",14,NA,NA
"2584","tissue",491,TRUE,TRUE
"2587","food",18,NA,NA
"2587","microbes",98,NA,NA
"2587","plants",17,NA,NA
"2587","tissue",1169,TRUE,TRUE
"2590","microbes",9,NA,NA
"2590","tissue",87,TRUE,TRUE
"2599","food",24,NA,NA
"2599","microbes",147,NA,NA
"2599","plants",27,NA,NA
"2599","tissue",1383,TRUE,TRUE
"2610","food",17,NA,NA
"2610","microbes",87,NA,NA
"2610","plants",30,NA,NA
"2610","tissue",978,TRUE,TRUE
"2618","food",12,NA,NA
"2618","microbes",37,NA,NA
"2618","plants",17,NA,NA
"2618","tissue",550,TRUE,TRUE
"2619","tissue",21,TRUE,TRUE
"2619","personal care product",2,NA,NA
"2622","food",6,NA,NA
"2622","microbes",24,NA,NA
"2622","plants",14,NA,NA
"2622","tissue",267,TRUE,TRUE
"2626","tissue",28,TRUE,TRUE
"2626","personal care product",1,NA,NA
"2632","microbes",11,NA,NA
"2632","plants",66,NA,NA
"2632","tissue",394,TRUE,TRUE
"2656","plants",1,NA,NA
"2656","tissue",30,TRUE,TRUE
"2681","plants",2,NA,NA
"2681","tissue",8,TRUE,TRUE
"270","microbes",1,NA,NA
"270","tissue",7,TRUE,TRUE
"2702","microbes",8,NA,NA
"2702","tissue",87,TRUE,TRUE
"2721","microbes",26,NA,NA
"2721","plants",131,NA,NA
"2721","tissue",540,TRUE,TRUE
"273","microbes",6,NA,NA
"273","plants",6,NA,NA
"273","tissue",277,TRUE,TRUE
"273","personal care product",71,NA,NA
"2732","microbes",19,NA,NA
"2732","plants",151,NA,NA
"2732","tissue",617,TRUE,TRUE
"2740","microbes",12,NA,NA
"2740","plants",174,NA,NA
"2740","tissue",491,TRUE,TRUE
"2753","food",5,NA,NA
"2753","microbes",71,NA,NA
"2753","plants",182,NA,NA
"2753","tissue",776,TRUE,TRUE
"2765","food",13,NA,NA
"2765","microbes",99,NA,NA
"2765","plants",158,NA,NA
"2765","tissue",878,TRUE,TRUE
"2770","food",6,NA,NA
"2770","microbes",74,NA,NA
"2770","plants",70,NA,NA
"2770","tissue",834,TRUE,TRUE
"2774","food",8,NA,NA
"2774","microbes",40,NA,NA
"2774","plants",45,NA,NA
"2774","tissue",780,TRUE,TRUE
"278","microbes",24,NA,NA
"278","plants",28,NA,NA
"278","tissue",166,TRUE,TRUE
"278","personal care product",1,NA,NA
"2782","microbes",17,NA,NA
"2782","plants",218,NA,NA
"2782","tissue",360,TRUE,TRUE
